usertype,start_station_name,end_station_name,route,num_of_trips,duration
Subscriber,W 20 St & 11 Ave,W 20 St & 8 Ave,W 20 St & 11 Ave to W 20 St & 8 Ave,7810,5.79
Subscriber,E 17 St & Broadway,W 17 St & 8 Ave,E 17 St & Broadway to W 17 St & 8 Ave,7807,6.39
Subscriber,Barrow St & Hudson St,Greenwich Ave & 8 Ave,Barrow St & Hudson St to Greenwich Ave & 8 Ave,7782,6.2
Customer,Cadman Plaza E & Red Cross Pl,Centre St & Chambers St,Cadman Plaza E & Red Cross Pl to Centre St & Chambers St,7751,28.91
Subscriber,Greenwich Ave & Charles St,Greenwich Ave & Charles St,Greenwich Ave & Charles St to Greenwich Ave & Charles St,7719,21.25
Subscriber,Lafayette St & E 8 St,Broadway & E 14 St,Lafayette St & E 8 St to Broadway & E 14 St,7676,4.37
Subscriber,Vesey Pl & River Terrace,Greenwich St & N Moore St,Vesey Pl & River Terrace to Greenwich St & N Moore St,7607,5.88
Subscriber,Greenwich St & N Moore St,Greenwich St & Warren St,Greenwich St & N Moore St to Greenwich St & Warren St,7593,4.0
Subscriber,Vernon Blvd & 50 Ave,46 Ave & 5 St,Vernon Blvd & 50 Ave to 46 Ave & 5 St,7583,12.35
Subscriber,West St & Chambers St,Centre St & Chambers St,West St & Chambers St to Centre St & Chambers St,7541,6.72
Subscriber,West St & Chambers St,12 Ave & W 40 St,West St & Chambers St to 12 Ave & W 40 St,7517,22.76
Subscriber,Willoughby St & Fleet St,Clinton Ave & Myrtle Ave,Willoughby St & Fleet St to Clinton Ave & Myrtle Ave,7510,10.25
Subscriber,Willoughby Ave & Hall St,DeKalb Ave & Hudson Ave,Willoughby Ave & Hall St to DeKalb Ave & Hudson Ave,7466,7.61
Subscriber,E 31 St & 3 Ave,W 31 St & 7 Ave,E 31 St & 3 Ave to W 31 St & 7 Ave,7424,7.16
Subscriber,South End Ave & Liberty St,Broadway & Battery Pl,South End Ave & Liberty St to Broadway & Battery Pl,7423,7.29
Subscriber,8 Ave & W 33 St,W 37 St & 10 Ave,8 Ave & W 33 St to W 37 St & 10 Ave,7392,5.55
Subscriber,Christopher St & Greenwich St,West St & Chambers St,Christopher St & Greenwich St to West St & Chambers St,7391,10.63
Subscriber,11 Ave & W 41 St,W 42 St & 8 Ave,11 Ave & W 41 St to W 42 St & 8 Ave,7390,5.75
Subscriber,Pershing Square North,E 30 St & Park Ave S,Pershing Square North to E 30 St & Park Ave S,7387,5.78
Subscriber,Clark St & Henry St,Henry St & Atlantic Ave,Clark St & Henry St to Henry St & Atlantic Ave,7373,5.16
Customer,Cadman Plaza E & Tillary St,Centre St & Chambers St,Cadman Plaza E & Tillary St to Centre St & Chambers St,7365,25.87
Subscriber,W 22 St & 8 Ave,W 20 St & 11 Ave,W 22 St & 8 Ave to W 20 St & 11 Ave,7355,6.37
Subscriber,W 38 St & 8 Ave,Pershing Square North,W 38 St & 8 Ave to Pershing Square North,7329,8.01
Subscriber,W 37 St & 10 Ave,8 Ave & W 33 St,W 37 St & 10 Ave to 8 Ave & W 33 St,7288,5.23
Subscriber,W 20 St & 11 Ave,8 Ave & W 31 St,W 20 St & 11 Ave to 8 Ave & W 31 St,7287,9.06
Subscriber,Vesey Pl & River Terrace,Little West St & 1 Pl,Vesey Pl & River Terrace to Little West St & 1 Pl,7282,7.49
